,table_index,question,correct_answer,possible_answer,cos_sim
0,0,What is the feedstock for Sulphur recovery for Hydrocarbon in kmol/hr?,22,"22
",0.547123908996582
1,0,What is the feedstock for Sulphur recovery for Hydrocarbon in kmol/hr?,22,Hydrocarbon (as C1) ,0.5260725021362305
2,0,What is the feedstock for Sulphur recovery for Hydrocarbon in kmol/hr?,22,,0.5095517635345459
3,0,What is the feedstock for Sulphur recovery for Hydrocarbon in kmol/hr?,22,1% ,0.508769154548645
4,0,What is the feedstock for Sulphur recovery for Hydrocarbon in kmol/hr?,22,H2S ,0.4493067264556885
5,0,What is the feedstock for Sulphur recovery for Hydrocarbon in kmol/hr?,22,60% ,0.434950590133667
6,0,What is the feedstock for Sulphur recovery for Hydrocarbon in kmol/hr?,22,"1300
",0.4298540949821472
7,0,What is the feedstock for Sulphur recovery for Hydrocarbon in kmol/hr?,22,"195
",0.41842636466026306
8,0,What is the feedstock for Sulphur recovery for Hydrocarbon in kmol/hr?,22,9% ,0.41501349210739136
9,0,What is the feedstock for Sulphur recovery for Hydrocarbon in kmol/hr?,22,H2O ,0.40662989020347595
10,0,Which component has a minimum  Sulphur Recovery feedstock?,Hydrocarbon (as C1),Hydrocarbon (as C1) ,0.43921616673469543
11,0,Which component has a minimum  Sulphur Recovery feedstock?,Hydrocarbon (as C1),"22
",0.4240357279777527
12,0,Which component has a minimum  Sulphur Recovery feedstock?,Hydrocarbon (as C1),H2S ,0.42225587368011475
13,0,Which component has a minimum  Sulphur Recovery feedstock?,Hydrocarbon (as C1),Total ,0.41432371735572815
14,0,Which component has a minimum  Sulphur Recovery feedstock?,Hydrocarbon (as C1),,0.4098951816558838
15,0,Which component has a minimum  Sulphur Recovery feedstock?,Hydrocarbon (as C1),1% ,0.40604934096336365
16,0,Which component has a minimum  Sulphur Recovery feedstock?,Hydrocarbon (as C1),H2O ,0.3865020275115967
17,0,Which component has a minimum  Sulphur Recovery feedstock?,Hydrocarbon (as C1),CO2 ,0.3815220296382904
18,0,Which component has a minimum  Sulphur Recovery feedstock?,Hydrocarbon (as C1),100% ,0.36774882674217224
19,0,Which component has a minimum  Sulphur Recovery feedstock?,Hydrocarbon (as C1),60% ,0.3671286106109619
20,1,What is the consumed power in Sulphur Recovery train for  Amine Pumps in 99.3% SRE?,83 kW,N/A ,0.5239004492759705
21,1,What is the consumed power in Sulphur Recovery train for  Amine Pumps in 99.3% SRE?,83 kW,"12,266 kW ",0.5224215984344482
22,1,What is the consumed power in Sulphur Recovery train for  Amine Pumps in 99.3% SRE?,83 kW,"18,610 kW ",0.5194735527038574
23,1,What is the consumed power in Sulphur Recovery train for  Amine Pumps in 99.3% SRE?,83 kW,N/A ,0.5168091654777527
24,1,What is the consumed power in Sulphur Recovery train for  Amine Pumps in 99.3% SRE?,83 kW,"86,820 kW 
",0.5117155313491821
25,1,What is the consumed power in Sulphur Recovery train for  Amine Pumps in 99.3% SRE?,83 kW,N/A ,0.5011847615242004
26,1,What is the consumed power in Sulphur Recovery train for  Amine Pumps in 99.3% SRE?,83 kW,N/A ,0.49855226278305054
27,1,What is the consumed power in Sulphur Recovery train for  Amine Pumps in 99.3% SRE?,83 kW,,0.4983963370323181
28,1,What is the consumed power in Sulphur Recovery train for  Amine Pumps in 99.3% SRE?,83 kW,"2,677 kW ",0.4983244240283966
